NumContract,ContractID,ClientID,inner_lead_id,SubdivisionName,issueDateTimestamp,RepaymentPlanDate,LoanAmount,Status,DateStatus,SumLastPay
68,183,219,\N,Белгород,2022-09-30 15:18:31,2023-09-29,35000,COLLECTOR,2024-10-03 14:33:23,1950
91,252,291,\N,Электросталь,2022-10-04 17:40:57,2023-10-03,50000,EARLY_REPAID,2023-07-27 21:05:44,3078
265,774,954,\N,Вологда,2022-10-19 15:28:15,2023-06-28,25000,EARLY_REPAID,2023-05-16 16:30:05,5700
389,1146,1344,\N,Вологда,2022-10-28 12:44:37,2023-10-27,30000,DELINQUENT,2023-10-07 00:00:00,1200
457,1352,1557,\N,Белгород,2022-11-02 13:43:20,2023-07-12,30000,REPAID,2023-06-15 15:15:02,3000
640,1901,3680,\N,Чебоксары,2022-11-15 15:10:13,2023-11-14,20000,EARLY_REPAID,2023-08-01 23:55:00,11642
864,2573,4640,\N,Иваново,2022-11-24 16:50:31,2023-11-23,70000,SOLD,2023-12-26 23:45:00,2500
1097,3272,5777,\N,Белгород,2022-12-06 16:08:16,2023-08-15,30000,CANCELED,2022-12-06 16:30:00,\N
1370,4088,7454,\N,Орел,2022-12-19 14:40:28,2023-08-28,20000,SOLD,2023-12-26 23:45:00,1070
1393,4157,9776,\N,Электросталь,2022-12-20 14:24:23,2023-12-19,40000,ACTIVE_SB,2023-12-12 23:00:00,3000
1612,4814,12794,\N,Иваново,2022-12-28 13:10:52,2023-09-06,30000,SOLD,2023-12-26 23:45:00,1600
1851,5530,26824,\N,Рязань,2023-01-18 15:45:22,2024-01-17,52000,REPAID,2024-01-23 19:10:46,40
2050,6127,35551,\N,Санкт-Петербург,2023-01-26 18:01:52,2024-01-25,50000,COLLECTOR,2024-12-17 15:34:37,2200
2075,6202,42364,\N,Пенза,2023-01-27 15:30:23,2024-01-26,36000,BANKRUPTCY,2024-09-26 14:18:04,3100
2148,6421,52735,\N,Пенза,2023-01-31 13:35:23,2024-01-30,30000,ACTIVE_SB,2024-01-23 23:00:00,9000
2154,6439,47875,\N,Курск,2023-01-31 14:50:25,2023-07-25,20000,COLLECTOR,2024-12-17 15:34:38,6652.05
2369,7084,67927,\N,Волгоград,2023-02-07 18:10:20,2024-02-06,55000,COLLECTOR,2024-07-24 14:55:14,4700
2674,7999,89515,\N,Вологда,2023-02-16 16:42:14,2023-08-10,20000,COLLECTOR,2024-10-14 11:55:55,1584.96
2952,8833,106015,1333,Рязань,2023-02-27 20:04:13,2023-08-21,20000,COLLECTOR,2023-09-22 09:26:10,10868.3
3211,9610,114331,\N,Белгород,2023-03-10 12:01:12,2024-03-08,30000,COLLECTOR,2023-09-11 09:15:44,4250
3219,9631,129067,7408,Красногорск,2023-03-10 16:16:04,2024-03-08,45000,EARLY_REPAID,2023-04-12 20:27:48,42982
3512,10509,137712,\N,Астрахань,2023-03-21 16:00:29,2024-03-19,30000,COLLECTOR,2023-09-13 08:46:09,1100
3547,10614,75,12098,Электросталь,2023-03-23 13:49:12,2024-03-21,60000,COLLECTOR,2023-11-21 23:00:00,1775
6081,18155,247823,61302,Онлайн,2023-06-18 03:53:06,2023-09-10,9500,COLLECTOR,2024-12-17 15:34:43,\N
7524,22472,252860,85612,Онлайн,2023-07-05 08:34:09,2023-09-27,9500,COLLECTOR,2024-10-14 11:55:57,\N
12728,38081,272921,143198,Онлайн,2023-08-26 23:39:09,2023-11-18,9900,COLLECTOR,2024-11-08 14:22:22,2353.63
23629,70784,304811,224372,Онлайн,2023-11-07 15:02:11,2024-01-30,9900,COLLECTOR,2024-10-03 12:39:33,\N
26146,78335,310499,238618,Онлайн,2023-11-19 15:24:13,2024-02-11,9900,COLLECTOR,2024-10-03 13:14:49,2400
27112,81233,312539,244106,Онлайн,2023-11-23 20:44:12,2024-02-15,9900,COLLECTOR,2024-10-03 12:39:33,\N
29454,88259,317474,259354,Онлайн,2023-12-05 18:51:10,2024-02-27,9900,COLLECTOR,2024-10-03 12:39:33,2353.63
35084,104036,327624,291631,Онлайн,2024-01-04 12:01:11,2024-03-28,9900,COLLECTOR,2024-10-03 13:14:49,2347.26
36943,107766,330366,302295,Онлайн,2024-01-11 23:17:09,2024-04-04,9900,SOLD,2024-07-22 13:05:19,2340
37142,108361,330727,303297,Онлайн,2024-01-12 21:48:11,2024-04-05,8000,REPAID,2024-03-08 22:01:33,5705.77
37392,109111,331276,303744,Онлайн,2024-01-14 08:17:10,2024-04-07,9900,SOLD,2024-06-26 15:44:21,2353.63
37654,109897,331792,306104,Онлайн,2024-01-15 13:47:12,2024-04-08,9900,COLLECTOR,2024-10-03 13:14:49,2353.63
39952,116791,336370,318123,Онлайн,2024-01-25 18:56:08,2024-04-18,9900,COLLECTOR,2024-10-03 13:14:49,2353.63
42997,125922,342546,334684,Онлайн,2024-02-08 20:32:07,2024-05-02,13300,COLLECTOR,2024-10-03 13:14:49,2000
68701,203029,392176,475995,Онлайн,2024-06-14 09:09:03,2024-09-06,9900,DELINQUENT,2024-06-29 00:00:00,50
70431,208219,361491,486010,Онлайн,2024-06-22 10:47:02,2024-10-12,6000,ACTIVE_SB,2024-09-24 23:00:00,500
